,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat,NDVI
916,33.59890136718752,0.4547594695925431,6.4341566886226795,5,forte,0.0113745722052497,Quinto,0.221995
917,31.870629882812523,0.4701632757568679,9.617812173700035,5,forte,0.0124089656394982,Quinto,0.221995
918,30.48189697265628,0.4873785549172446,10.030766386641856,5,forte,0.010194104320551,Quinto,0.221995
919,29.08321533203128,0.4750573650994731,4.916030419228519,7,forte,0.0105497541325634,Sétimo,0.23780945
920,27.894067382812523,0.4888742529574597,10.496911454799323,6,forte,0.0106299131257376,Sexto,0.23780945
928,20.304833984375023,0.4559395093108662,10.699374337281983,2,forte,0.0122980906669283,Segundo,0.19248827
929,20.990502929687523,0.4537618008158494,10.030062117849628,2,forte,0.0106858694024311,Segundo,0.19248827
930,20.375909423828148,0.4604628003557969,9.87744237169139,2,forte,0.0113382697079821,Segundo,0.19248827
931,20.411279296875023,0.4587411715072382,10.291785219556346,2,forte,0.0121148750368511,Segundo,0.19248827
932,20.3779235839844,0.4572847348871967,10.52290642750219,2,forte,0.0125251214790942,Segundo,0.19248827
949,19.267419433593773,0.4645280297728717,9.193251185231881,1,muito_forte,0.0152802715578272,Primeiro,0.19391814
950,19.850976562500023,0.4684842935304342,7.9092521858740525,1,forte,0.0119038451726433,Primeiro,0.19391814
951,19.53731689453128,0.462268245031935,8.03300274776541,2,muito_forte,0.0177510373537492,Segundo,0.19391814
952,19.621148681640648,0.4563002529785968,9.173069825044301,2,muito_forte,0.0156394242893185,Segundo,0.19391814
953,19.567712402343773,0.4571099351765261,9.30700834972724,2,muito_forte,0.0165186215436865,Segundo,0.19391814
954,19.475854492187523,0.4598059766415377,9.309723476607331,1,muito_forte,0.0163907275356302,Primeiro,0.19391814
962,32.06795654296877,0.4630122089436821,8.214487488942016,5,forte,0.0107983878152028,Quinto,0.22427562
965,30.508935546875023,0.4818253038284611,11.880875140635414,5,forte,0.011672036642645,Quinto,0.22427562
966,29.108789062500023,0.490985948929073,12.107019390113747,5,forte,0.0125272883705465,Quinto,0.22427562
1086,21.71309814453128,0.4769501700731706,7.387342697840314,1,forte,0.0101896808774447,Primeiro,0.292
1093,32.29177246093752,0.4681820819000768,9.133717073338659,1,forte,0.0109582602468281,Primeiro,0.39761057
1142,23.385400390625023,0.5118101840425314,2.281553267336864,3,muito_forte,0.0174271734583403,Terceiro,0.4149879
1143,22.739038085937523,0.5158445050207243,2.0496728490225595,2,muito_forte,0.0180565690726981,Segundo,0.4149879
1168,28.35640869140628,0.466725930544543,7.084406333571878,1,forte,0.0104248190508201,Primeiro,0.38733172
1169,27.90035400390628,0.4679186009747508,7.816249756933628,1,forte,0.0113068461687007,Primeiro,0.38733172
1170,27.938562011718773,0.464594957547694,8.620844754426756,8,forte,0.0131334686812622,Oitavo,0.38733172
1171,27.91451416015628,0.4615918285953039,10.275101399856755,8,forte,0.0126252033417959,Oitavo,0.38733172
1189,32.42141113281252,0.4707716535494626,13.040334046545675,8,muito_forte,0.0168362060917713,Oitavo,0.3797925
1227,35.02202758789065,0.4241317888258024,5.947206314993838,2,forte,0.0138976500211775,Segundo,0.40237838
1228,32.61995849609377,0.4486625339040715,10.905806517719718,2,forte,0.014979274667765,Segundo,0.40237838
1260,32.8709655761719,0.448160499240073,13.273172022916604,2,forte,0.0123580700398986,Segundo,0.40186107
1266,25.635827636718773,0.5103239319538441,2.549406533185478,1,forte,0.0100004142088148,Primeiro,0.40186107
1269,15.451898193359398,0.5216391597490413,3.1496421450176686,2,extremo,0.031418985670476,Segundo,0.42964154
1276,17.250726318359398,0.511113626926924,3.5064780163168336,1,extremo,0.0460822715999904,Primeiro,0.42964154
1277,16.439294433593773,0.5162609218354133,3.633252940565936,1,extremo,0.0465022584301406,Primeiro,0.42964154
1278,15.872216796875025,0.5195616212967353,3.213821192751955,1,extremo,0.0380986160577673,Primeiro,0.42964154
1304,21.3793884277344,0.4794667926566209,6.7613815173276235,4,forte,0.0101250791404947,Quarto,0.42964554
1310,17.697717285156273,0.502867632954732,5.499935790199877,2,forte,0.0112711795150178,Segundo,0.42964554
1319,34.2874694824219,0.4405333593475192,8.716492641002388,2,forte,0.0126554624939016,Segundo,0.40585774
1344,27.244470214843773,0.4652695104050574,2.6775403658880244,1,muito_forte,0.0159833175425978,Primeiro,0.3640961
1347,32.17885742187502,0.406943597192504,5.190420078614896,4,forte,0.0106174158588815,Quarto,0.3640961
1351,24.885064697265648,0.471870700575578,9.22386380909514,5,forte,0.0128038664714961,Quinto,0.3640961
1352,24.598535156250023,0.4708878028259006,9.879343678693505,5,muito_forte,0.0163105811904869,Quinto,0.3640961
1374,27.231774902343773,0.4249574883467009,9.64464746448174,8,forte,0.0100718327728778,Oitavo,0.3054691
1375,27.035272216796898,0.4267221503720869,9.900796436062851,8,forte,0.0103742512375003,Oitavo,0.3054691
1376,26.709375000000023,0.4302129498522412,9.763490098490015,8,forte,0.0100830399456403,Oitavo,0.3054691
1402,26.886010742187523,0.439265791907587,4.22352488885496,2,extremo,0.0256894488849953,Segundo,0.36413503
1403,26.397241210937523,0.4416110118962068,3.9468247102886993,3,extremo,0.0314419261783831,Terceiro,0.36413503
1404,26.218408203125023,0.4417995430731151,3.449663623561772,4,muito_forte,0.0186166137294931,Quarto,0.36413503
1406,24.31466064453128,0.4522576240338032,3.72681151090067,3,extremo,0.0337378519722468,Terceiro,0.36413503
1407,24.268487548828148,0.4525371051093011,1.768300665192604,3,forte,0.0141372582875614,Terceiro,0.36413503
1408,23.718530273437523,0.4575470481167511,0.9309317031612893,1,forte,0.0114764381674621,Primeiro,0.36413503
1415,29.89107666015628,0.413394207644938,7.813016946402796,4,forte,0.0111518006662458,Quarto,0.36388594
1417,24.511834716796898,0.4997210726691869,5.578878257565318,8,forte,0.0108738413557605,Oitavo,0.36388594
1425,27.580468750000023,0.4350433220893279,4.7277132199579395,3,forte,0.0129113847747299,Terceiro,0.36388594
1517,21.71309814453128,0.4769501700731706,7.387342697840314,1,forte,0.0101896808774447,Primeiro,0.20053837
1555,23.385400390625023,0.5118101840425314,2.281553267336864,3,muito_forte,0.0174271734583403,Terceiro,0.17503656
1556,22.739038085937523,0.5158445050207243,2.0496728490225595,2,muito_forte,0.0180565690726981,Segundo,0.17503656
1578,28.35640869140628,0.466725930544543,7.084406333571878,1,forte,0.0104248190508201,Primeiro,0.2601246
1579,27.90035400390628,0.4679186009747508,7.816249756933628,1,forte,0.0113068461687007,Primeiro,0.2601246
1580,27.938562011718773,0.464594957547694,8.620844754426756,8,forte,0.0131334686812622,Oitavo,0.2601246
1581,27.91451416015628,0.4615918285953039,10.275101399856755,8,forte,0.0126252033417959,Oitavo,0.2601246
1631,35.02202758789065,0.4241317888258024,5.947206314993838,2,forte,0.0138976500211775,Segundo,0.25421777
1632,32.61995849609377,0.4486625339040715,10.905806517719718,2,forte,0.014979274667765,Segundo,0.25421777
1664,32.8709655761719,0.448160499240073,13.273172022916604,2,forte,0.0123580700398986,Segundo,0.25422427
1670,25.635827636718773,0.5103239319538441,2.549406533185478,1,forte,0.0100004142088148,Primeiro,0.25422427
1673,15.451898193359398,0.5216391597490413,3.1496421450176686,2,extremo,0.031418985670476,Segundo,0.24489348
1680,17.250726318359398,0.511113626926924,3.5064780163168336,1,extremo,0.0460822715999904,Primeiro,0.24489348
1681,16.439294433593773,0.5162609218354133,3.633252940565936,1,extremo,0.0465022584301406,Primeiro,0.24489348
1682,15.872216796875025,0.5195616212967353,3.213821192751955,1,extremo,0.0380986160577673,Primeiro,0.24489348
1708,21.3793884277344,0.4794667926566209,6.7613815173276235,4,forte,0.0101250791404947,Quarto,0.24492498
1714,17.697717285156273,0.502867632954732,5.499935790199877,2,forte,0.0112711795150178,Segundo,0.24492498
1720,34.2874694824219,0.4405333593475192,8.716492641002388,2,forte,0.0126554624939016,Segundo,0.26015154
1745,27.244470214843773,0.4652695104050574,2.6775403658880244,1,muito_forte,0.0159833175425978,Primeiro,0.22779924
1748,32.17885742187502,0.406943597192504,5.190420078614896,4,forte,0.0106174158588815,Quarto,0.22779924
1752,24.885064697265648,0.471870700575578,9.22386380909514,5,forte,0.0128038664714961,Quinto,0.22779924
1753,24.598535156250023,0.4708878028259006,9.879343678693505,5,muito_forte,0.0163105811904869,Quinto,0.22779924
1799,26.886010742187523,0.439265791907587,4.22352488885496,2,extremo,0.0256894488849953,Segundo,0.22790372
1800,26.397241210937523,0.4416110118962068,3.9468247102886993,3,extremo,0.0314419261783831,Terceiro,0.22790372
1801,26.218408203125023,0.4417995430731151,3.449663623561772,4,muito_forte,0.0186166137294931,Quarto,0.22790372
1803,24.31466064453128,0.4522576240338032,3.72681151090067,3,extremo,0.0337378519722468,Terceiro,0.22790372
1804,24.268487548828148,0.4525371051093011,1.768300665192604,3,forte,0.0141372582875614,Terceiro,0.22790372
1805,23.718530273437523,0.4575470481167511,0.9309317031612893,1,forte,0.0114764381674621,Primeiro,0.22790372
1812,29.89107666015628,0.413394207644938,7.813016946402796,4,forte,0.0111518006662458,Quarto,0.22800845
1814,24.511834716796898,0.4997210726691869,5.578878257565318,8,forte,0.0108738413557605,Oitavo,0.22800845
1822,27.580468750000023,0.4350433220893279,4.7277132199579395,3,forte,0.0129113847747299,Terceiro,0.22800845
1863,21.71309814453128,0.4769501700731706,7.387342697840314,1,forte,0.0101896808774447,Primeiro,0.18917485
1877,23.385400390625023,0.5118101840425314,2.281553267336864,3,muito_forte,0.0174271734583403,Terceiro,0.2292208
1878,22.739038085937523,0.5158445050207243,2.0496728490225595,2,muito_forte,0.0180565690726981,Segundo,0.2292208
1922,35.02202758789065,0.4241317888258024,5.947206314993838,2,forte,0.0138976500211775,Segundo,0.23929471
1923,32.61995849609377,0.4486625339040715,10.905806517719718,2,forte,0.014979274667765,Segundo,0.23929471
1955,32.8709655761719,0.448160499240073,13.273172022916604,2,forte,0.0123580700398986,Segundo,0.23929471
1961,25.635827636718773,0.5103239319538441,2.549406533185478,1,forte,0.0100004142088148,Primeiro,0.23929471
1964,15.451898193359398,0.5216391597490413,3.1496421450176686,2,extremo,0.031418985670476,Segundo,0.21567538
1971,17.250726318359398,0.511113626926924,3.5064780163168336,1,extremo,0.0460822715999904,Primeiro,0.21567538
1972,16.439294433593773,0.5162609218354133,3.633252940565936,1,extremo,0.0465022584301406,Primeiro,0.21567538
1973,15.872216796875025,0.5195616212967353,3.213821192751955,1,extremo,0.0380986160577673,Primeiro,0.21567538
1993,21.3793884277344,0.4794667926566209,6.7613815173276235,4,forte,0.0101250791404947,Quarto,0.21547884
1999,17.697717285156273,0.502867632954732,5.499935790199877,2,forte,0.0112711795150178,Segundo,0.21547884
2005,34.2874694824219,0.4405333593475192,8.716492641002388,2,forte,0.0126554624939016,Segundo,0.23927669
2082,21.71309814453128,0.4769501700731706,7.387342697840314,1,forte,0.0101896808774447,Primeiro,0.30423877
2089,32.29177246093752,0.4681820819000768,9.133717073338659,1,forte,0.0109582602468281,Primeiro,0.41875827
2134,23.385400390625023,0.5118101840425314,2.281553267336864,3,muito_forte,0.0174271734583403,Terceiro,0.39513206
2135,22.739038085937523,0.5158445050207243,2.0496728490225595,2,muito_forte,0.0180565690726981,Segundo,0.39513206
2160,28.35640869140628,0.466725930544543,7.084406333571878,1,forte,0.0104248190508201,Primeiro,0.4097317
2161,27.90035400390628,0.4679186009747508,7.816249756933628,1,forte,0.0113068461687007,Primeiro,0.4097317
2162,27.938562011718773,0.464594957547694,8.620844754426756,8,forte,0.0131334686812622,Oitavo,0.4097317
2163,27.91451416015628,0.4615918285953039,10.275101399856755,8,forte,0.0126252033417959,Oitavo,0.4097317
2215,35.02202758789065,0.4241317888258024,5.947206314993838,2,forte,0.0138976500211775,Segundo,0.41509014
2216,32.61995849609377,0.4486625339040715,10.905806517719718,2,forte,0.014979274667765,Segundo,0.41509014
2248,32.8709655761719,0.448160499240073,13.273172022916604,2,forte,0.0123580700398986,Segundo,0.41501448
2254,25.635827636718773,0.5103239319538441,2.549406533185478,1,forte,0.0100004142088148,Primeiro,0.41501448
2257,15.451898193359398,0.5216391597490413,3.1496421450176686,2,extremo,0.031418985670476,Segundo,0.3879809
2264,17.250726318359398,0.511113626926924,3.5064780163168336,1,extremo,0.0460822715999904,Primeiro,0.3879809
2265,16.439294433593773,0.5162609218354133,3.633252940565936,1,extremo,0.0465022584301406,Primeiro,0.3879809
2266,15.872216796875025,0.5195616212967353,3.213821192751955,1,extremo,0.0380986160577673,Primeiro,0.3879809
2292,21.3793884277344,0.4794667926566209,6.7613815173276235,4,forte,0.0101250791404947,Quarto,0.38830054
2298,17.697717285156273,0.502867632954732,5.499935790199877,2,forte,0.0112711795150178,Segundo,0.38830054
2307,34.2874694824219,0.4405333593475192,8.716492641002388,2,forte,0.0126554624939016,Segundo,0.41331547
2332,27.244470214843773,0.4652695104050574,2.6775403658880244,1,muito_forte,0.0159833175425978,Primeiro,0.39371124
2335,32.17885742187502,0.406943597192504,5.190420078614896,4,forte,0.0106174158588815,Quarto,0.39371124
2339,24.885064697265648,0.471870700575578,9.22386380909514,5,forte,0.0128038664714961,Quinto,0.39371124
2340,24.598535156250023,0.4708878028259006,9.879343678693505,5,muito_forte,0.0163105811904869,Quinto,0.39371124
2362,27.231774902343773,0.4249574883467009,9.64464746448174,8,forte,0.0100718327728778,Oitavo,0.30718657
2363,27.035272216796898,0.4267221503720869,9.900796436062851,8,forte,0.0103742512375003,Oitavo,0.30718657
2364,26.709375000000023,0.4302129498522412,9.763490098490015,8,forte,0.0100830399456403,Oitavo,0.30718657
2390,26.886010742187523,0.439265791907587,4.22352488885496,2,extremo,0.0256894488849953,Segundo,0.39406028
2391,26.397241210937523,0.4416110118962068,3.9468247102886993,3,extremo,0.0314419261783831,Terceiro,0.39406028
2392,26.218408203125023,0.4417995430731151,3.449663623561772,4,muito_forte,0.0186166137294931,Quarto,0.39406028
2394,24.31466064453128,0.4522576240338032,3.72681151090067,3,extremo,0.0337378519722468,Terceiro,0.39406028
2395,24.268487548828148,0.4525371051093011,1.768300665192604,3,forte,0.0141372582875614,Terceiro,0.39406028
2396,23.718530273437523,0.4575470481167511,0.9309317031612893,1,forte,0.0114764381674621,Primeiro,0.39406028
2403,29.89107666015628,0.413394207644938,7.813016946402796,4,forte,0.0111518006662458,Quarto,0.39365712
2405,24.511834716796898,0.4997210726691869,5.578878257565318,8,forte,0.0108738413557605,Oitavo,0.39365712
2413,27.580468750000023,0.4350433220893279,4.7277132199579395,3,forte,0.0129113847747299,Terceiro,0.39365712
2507,21.71309814453128,0.4769501700731706,7.387342697840314,1,forte,0.0101896808774447,Primeiro,0.23012553
2515,32.29177246093752,0.4681820819000768,9.133717073338659,1,forte,0.0109582602468281,Primeiro,0.35391122
2565,23.385400390625023,0.5118101840425314,2.281553267336864,3,muito_forte,0.0174271734583403,Terceiro,0.37981862
2566,22.739038085937523,0.5158445050207243,2.0496728490225595,2,muito_forte,0.0180565690726981,Segundo,0.37981862
2591,28.35640869140628,0.466725930544543,7.084406333571878,1,forte,0.0104248190508201,Primeiro,0.339425
2592,27.90035400390628,0.4679186009747508,7.816249756933628,1,forte,0.0113068461687007,Primeiro,0.339425
2593,27.938562011718773,0.464594957547694,8.620844754426756,8,forte,0.0131334686812622,Oitavo,0.339425
2594,27.91451416015628,0.4615918285953039,10.275101399856755,8,forte,0.0126252033417959,Oitavo,0.339425
2612,32.42141113281252,0.4707716535494626,13.040334046545675,8,muito_forte,0.0168362060917713,Oitavo,0.2771639
2650,35.02202758789065,0.4241317888258024,5.947206314993838,2,forte,0.0138976500211775,Segundo,0.34675813
2651,32.61995849609377,0.4486625339040715,10.905806517719718,2,forte,0.014979274667765,Segundo,0.34675813
2683,32.8709655761719,0.448160499240073,13.273172022916604,2,forte,0.0123580700398986,Segundo,0.34720993
2689,25.635827636718773,0.5103239319538441,2.549406533185478,1,forte,0.0100004142088148,Primeiro,0.34720993
2692,15.451898193359398,0.5216391597490413,3.1496421450176686,2,extremo,0.031418985670476,Segundo,0.37700146
2699,17.250726318359398,0.511113626926924,3.5064780163168336,1,extremo,0.0460822715999904,Primeiro,0.37700146
2700,16.439294433593773,0.5162609218354133,3.633252940565936,1,extremo,0.0465022584301406,Primeiro,0.37700146
2701,15.872216796875025,0.5195616212967353,3.213821192751955,1,extremo,0.0380986160577673,Primeiro,0.37700146
2727,21.3793884277344,0.4794667926566209,6.7613815173276235,4,forte,0.0101250791404947,Quarto,0.37803465
2733,17.697717285156273,0.502867632954732,5.499935790199877,2,forte,0.0112711795150178,Segundo,0.37803465
2742,34.2874694824219,0.4405333593475192,8.716492641002388,2,forte,0.0126554624939016,Segundo,0.34529346
2767,27.244470214843773,0.4652695104050574,2.6775403658880244,1,muito_forte,0.0159833175425978,Primeiro,0.33656603
2770,32.17885742187502,0.406943597192504,5.190420078614896,4,forte,0.0106174158588815,Quarto,0.33656603
2774,24.885064697265648,0.471870700575578,9.22386380909514,5,forte,0.0128038664714961,Quinto,0.33656603
2775,24.598535156250023,0.4708878028259006,9.879343678693505,5,muito_forte,0.0163105811904869,Quinto,0.33656603
2797,27.231774902343773,0.4249574883467009,9.64464746448174,8,forte,0.0100718327728778,Oitavo,0.23985764
2798,27.035272216796898,0.4267221503720869,9.900796436062851,8,forte,0.0103742512375003,Oitavo,0.23985764
2799,26.709375000000023,0.4302129498522412,9.763490098490015,8,forte,0.0100830399456403,Oitavo,0.23985764
2825,26.886010742187523,0.439265791907587,4.22352488885496,2,extremo,0.0256894488849953,Segundo,0.33583406
2826,26.397241210937523,0.4416110118962068,3.9468247102886993,3,extremo,0.0314419261783831,Terceiro,0.33583406
2827,26.218408203125023,0.4417995430731151,3.449663623561772,4,muito_forte,0.0186166137294931,Quarto,0.33583406
2829,24.31466064453128,0.4522576240338032,3.72681151090067,3,extremo,0.0337378519722468,Terceiro,0.33583406
2830,24.268487548828148,0.4525371051093011,1.768300665192604,3,forte,0.0141372582875614,Terceiro,0.33583406
2831,23.718530273437523,0.4575470481167511,0.9309317031612893,1,forte,0.0114764381674621,Primeiro,0.33583406
2838,29.89107666015628,0.413394207644938,7.813016946402796,4,forte,0.0111518006662458,Quarto,0.33553937
2840,24.511834716796898,0.4997210726691869,5.578878257565318,8,forte,0.0108738413557605,Oitavo,0.33553937
2848,27.580468750000023,0.4350433220893279,4.7277132199579395,3,forte,0.0129113847747299,Terceiro,0.33553937
2942,21.71309814453128,0.4769501700731706,7.387342697840314,1,forte,0.0101896808774447,Primeiro,0.50545454
2949,32.29177246093752,0.4681820819000768,9.133717073338659,1,forte,0.0109582602468281,Primeiro,0.63668275
2998,23.385400390625023,0.5118101840425314,2.281553267336864,3,muito_forte,0.0174271734583403,Terceiro,0.76540136
2999,22.739038085937523,0.5158445050207243,2.0496728490225595,2,muito_forte,0.0180565690726981,Segundo,0.76540136
3024,28.35640869140628,0.466725930544543,7.084406333571878,1,forte,0.0104248190508201,Primeiro,0.6134259
3025,27.90035400390628,0.4679186009747508,7.816249756933628,1,forte,0.0113068461687007,Primeiro,0.6134259
3026,27.938562011718773,0.464594957547694,8.620844754426756,8,forte,0.0131334686812622,Oitavo,0.6134259
3027,27.91451416015628,0.4615918285953039,10.275101399856755,8,forte,0.0126252033417959,Oitavo,0.6134259
3079,35.02202758789065,0.4241317888258024,5.947206314993838,2,forte,0.0138976500211775,Segundo,0.6688868
3080,32.61995849609377,0.4486625339040715,10.905806517719718,2,forte,0.014979274667765,Segundo,0.6688868
3112,32.8709655761719,0.448160499240073,13.273172022916604,2,forte,0.0123580700398986,Segundo,0.6676185
3118,25.635827636718773,0.5103239319538441,2.549406533185478,1,forte,0.0100004142088148,Primeiro,0.6676185
3121,15.451898193359398,0.5216391597490413,3.1496421450176686,2,extremo,0.031418985670476,Segundo,0.7133443
3128,17.250726318359398,0.511113626926924,3.5064780163168336,1,extremo,0.0460822715999904,Primeiro,0.7133443
3129,16.439294433593773,0.5162609218354133,3.633252940565936,1,extremo,0.0465022584301406,Primeiro,0.7133443
3130,15.872216796875025,0.5195616212967353,3.213821192751955,1,extremo,0.0380986160577673,Primeiro,0.7133443
3156,21.3793884277344,0.4794667926566209,6.7613815173276235,4,forte,0.0101250791404947,Quarto,0.7192686
3162,17.697717285156273,0.502867632954732,5.499935790199877,2,forte,0.0112711795150178,Segundo,0.7192686
3171,34.2874694824219,0.4405333593475192,8.716492641002388,2,forte,0.0126554624939016,Segundo,0.63179445
