,skinTemp,RH,windspeed,windquad,UHIn,windquad_cat,surface_pressure,NDVI
1149,17.925073242187523,0.5108932157107962,3.5901351288921766,3,4,Terceiro,99589.42,0.68
1150,17.206323242187523,0.5076856219949519,1.9120057110223778,3,4,Terceiro,99562.8,0.68
1151,15.847711181640648,0.5116254796636651,2.1790489071282413,6,4,Sexto,99561.64,0.68
1152,17.650048828125023,0.5100751821614165,2.4040475520836155,6,5,Sexto,99604.09,0.6852792
1153,17.849603271484398,0.5206112092709467,2.980566829383775,7,4,Sétimo,99682.21,0.6852792
1154,19.56588134765628,0.5158193759712209,5.3565233481885635,5,4,Quinto,99572.28,0.6852792
1155,19.280175781250023,0.5175579126443728,3.8964471260565094,4,4,Quarto,99516.09,0.6852792
1156,19.007226562500023,0.5136301597722394,3.017369811798088,5,5,Quinto,99528.14,0.6852792
1157,18.501062011718773,0.5090745366084793,2.2455869437555767,5,5,Quinto,99565.06,0.6852792
1158,23.427819824218773,0.5091102553781618,6.890127904147098,5,4,Quinto,98850.66,0.5695952
1159,23.576013183593773,0.5088991523872038,7.250498338916253,4,4,Quarto,98810.21,0.5695952
1160,32.18120727539065,0.5091450410983541,6.752672875905977,3,4,Terceiro,98657.83,0.7272225
1161,29.405908203125023,0.523175857890815,8.422480693956668,4,4,Quarto,98763.09,0.7272225
1162,20.763940429687523,0.5379130862869967,4.459467497517418,6,4,Sexto,99174.56,0.71695906
1163,21.694238281250023,0.5249070926265873,1.5967223775913708,3,4,Terceiro,99054.08,0.71695906
1164,17.130883789062523,0.5083135515804833,2.1730948299369683,7,4,Sétimo,99642.17,0.67982316
1165,17.826470947265648,0.5116177927089125,1.6108551307797245,7,4,Sétimo,99723.41,0.67982316
1166,20.220544433593773,0.5003502469199964,7.074667629586904,3,4,Terceiro,99603.8,0.67982316
1167,19.277917480468773,0.5053949537244593,5.490762417545628,3,4,Terceiro,99611016.0,0.67982316
1168,18.761163330078148,0.4936820377698292,3.7300986782989907,2,4,Segundo,99608.7,0.67982316
