,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat
6264,26.081384277343773,0.5098988410872691,3.752031454944967,4.0,forte,0.014734099193501,Quarto
6265,23.987359619140648,0.5275877962840101,7.009619974727103,4.0,forte,0.0124605651666267,Quarto
6350,30.623071289062523,0.4622514337242061,10.610872175651824,1.0,forte,0.0109686484721334,Primeiro
6445,27.195367431640648,0.5169342744779681,5.753028154258225,1.0,forte,0.0114347927116699,Primeiro
6481,27.42183837890628,0.5069627312756808,2.819093694649085,1.0,forte,0.0118944054217116,Primeiro
6613,29.576440429687523,0.4990316196413902,3.015938006321069,8.0,forte,0.0102534361837031,Oitavo
6722,19.161950683593773,0.5091533364913157,3.5478223712229258,8.0,muito_forte,0.0176235175167153,Oitavo
6732,25.143151855468773,0.4621639980226359,3.0060660893485065,1.0,extremo,0.0219712849673606,Primeiro
6737,21.484277343750023,0.4917628467681659,6.312957436410035,1.0,muito_forte,0.0151806127323734,Primeiro
6742,19.989892578125023,0.5021409424845672,2.8608225815775197,1.0,extremo,0.0221551427133204,Primeiro
6743,19.867761230468773,0.5031747115348435,2.725911636956884,8.0,extremo,0.0211748307835872,Oitavo
6788,22.679833984375023,0.4979731229388315,2.28831848699169,8.0,forte,0.0143252176444273,Oitavo
6789,22.263574218750023,0.5004855463081562,2.370982543782156,8.0,extremo,0.0218331682732843,Oitavo
6790,21.72847900390628,0.5039648208400966,2.848572893431214,7.0,muito_forte,0.0172472381067734,Sétimo
7080,27.677880859375023,0.5129272506231366,5.41890260214859,3.0,forte,0.010305248154449,Terceiro
7538,20.390710449218773,0.5191005402515847,4.730395475360704,7.0,forte,0.0112449936288878,Sétimo
7539,20.8493591308594,0.5209714843422177,3.1694245161107566,8.0,forte,0.010823880755286,Oitavo
7559,22.329370117187523,0.5038931311182903,2.97348741760831,8.0,muito_forte,0.0156009344666351,Oitavo
7726,23.6559997558594,0.5400404556538301,2.1538029344735596,8.0,forte,0.010131888735674,Oitavo
7745,25.493066406250023,0.5235739004016207,3.3743173263083657,2.0,forte,0.0139579966114648,Segundo
7776,26.150781250000023,0.4721877934416107,2.777530659048004,2.0,extremo,0.0236685114320228,Segundo
8066,20.870751953125023,0.5019945571321746,3.9718337916098343,1.0,forte,0.0143289039276238,Primeiro
8067,21.331628417968773,0.5014425937577789,2.7681385190704786,1.0,muito_forte,0.0173532922005427,Primeiro
8087,21.0590759277344,0.4985689199174798,4.50321296148864,2.0,forte,0.0109143357963355,Segundo
8128,29.934411621093773,0.4313403511385938,1.3959260107688163,4.0,forte,0.0135836714420836,Quarto
8392,27.895043945312523,0.4614404444042378,2.77311084233978,2.0,forte,0.0118519878054495,Segundo
8657,23.117303466796898,0.4862233287456174,3.7568553209914897,2.0,muito_forte,0.0167797286245638,Segundo
8658,21.396264648437523,0.4989090315590515,4.89732039859809,1.0,muito_forte,0.0159614207945413,Primeiro
8690,22.115136718750023,0.5015962631215061,2.8518878071959985,7.0,extremo,0.0261845490128242,Sétimo
8691,22.002282714843773,0.506629849064097,2.3252590890458653,8.0,extremo,0.0206883980178026,Oitavo
8700,26.626367187500023,0.467210696405313,3.599975016812719,2.0,extremo,0.033318134201395,Segundo
8707,23.795098876953148,0.4845726283294425,2.801369688036532,1.0,forte,0.0112332204795803,Primeiro
8708,23.025445556640648,0.4907515175190123,3.2669342505047103,7.0,forte,0.0139908152006047,Sétimo
8711,22.21651611328128,0.5005726670709768,3.2392999028451928,7.0,forte,0.0133781386640514,Sétimo
8751,27.028161621093773,0.5132028717655291,4.391374244959419,5.0,forte,0.0110077540887318,Quinto
8795,28.391748046875023,0.5081822675877745,11.001615085312519,7.0,forte,0.0125841572643767,Sétimo
8930,18.512597656250023,0.5425876198548665,3.293861549397,5.0,muito_forte,0.0152448206692972,Quinto
9232,26.016015625000023,0.4725866701410284,6.8192640072807755,4.0,forte,0.0124389569903401,Quarto
9254,15.197351074218773,0.5022617937892011,17.93064794458758,5.0,forte,0.0102723347834697,Quinto
9504,24.516503906250023,0.4794249066906951,7.38841855282672,3.0,forte,0.010502417777519,Terceiro
9745,25.496759033203148,0.5262001597568623,1.4758733585077797,5.0,forte,0.0119107895354505,Quinto
9780,25.269311523437523,0.5089713376926764,3.728845462612305,3.0,forte,0.0143034374501902,Terceiro
9785,25.732110595703148,0.5032448746755438,2.908359966730683,3.0,extremo,0.023990030509343,Terceiro
9875,33.7584167480469,0.4418622160901744,12.062230165766787,8.0,muito_forte,0.0151810086858983,Oitavo
9945,29.489038085937523,0.5014328386183354,9.842199997974225,7.0,forte,0.0137990326099076,Sétimo
9985,25.121697998046898,0.5239062259064863,8.931581974485548,8.0,forte,0.0120535509982802,Oitavo
9996,24.618524169921898,0.5272954205798015,7.7914266998803345,8.0,forte,0.0113668438008369,Oitavo
10163,33.21755371093752,0.4555191091996601,6.230429723889451,7.0,forte,0.0148334061591704,Sétimo
