,skinTemp,RH,windspeed,windquad,UHIp,windquad_cat,surface_pressure
3508,34.5319763183594,0.4745720539967228,4.837645799644012,8,forte,Oitavo,987.0883
3509,38.27224121093752,0.4630055497469285,6.9806542334138655,8,forte,Oitavo,987.6265
3510,39.94906005859377,0.4572119439413757,7.7115989720030305,8,forte,Oitavo,987.2744
3511,42.12850341796877,0.4535563093889612,7.454431086937553,8,muito_forte,Oitavo,986.90695
3512,43.35588989257815,0.4508438996157755,6.550536708788411,8,muito_forte,Oitavo,986.0958
3513,43.90206298828127,0.442701446110078,5.93823227136674,8,extremo,Oitavo,984.78055
3514,42.08120117187502,0.4411115682531263,6.552752701591238,1,extremo,Primeiro,983.59234
3515,40.5727478027344,0.4546643948485011,9.962445436684666,8,muito_forte,Oitavo,982.672
3516,27.749444580078148,0.4963983747142736,4.536295736456417,2,forte,Segundo,987.04266
3517,36.68319091796877,0.4675952942192035,7.340120091331669,8,muito_forte,Oitavo,982.2708
3518,34.72210083007815,0.4655935738207631,5.902398619977412,8,forte,Oitavo,982.6647
3519,32.48342285156252,0.4700715546986356,6.371207780458225,8,forte,Oitavo,983.2687
3521,27.091088867187523,0.504406072937745,3.993727999781067,2,forte,Segundo,986.82234
3522,26.358422851562523,0.5120210895353694,2.9622935524589926,1,forte,Primeiro,986.40516
3523,25.952478027343773,0.5125052634085207,2.5372628256532193,8,forte,Oitavo,985.7886
3524,25.49752197265628,0.517292926313365,3.082455221448257,7,forte,Sétimo,985.73516
3525,25.060327148437523,0.5184643791225111,4.870633171633762,1,forte,Primeiro,985.0246
3526,24.73604736328128,0.5198645079027943,5.827017645760736,1,forte,Primeiro,984.9383
3527,24.500878906250023,0.5215329191838106,5.800509197995624,1,forte,Primeiro,985.36625
3626,20.559350585937523,0.4964658472827246,8.616040379270368,1,forte,Primeiro,989.1436
3647,20.4497009277344,0.4967343652370753,8.503369683416917,1,forte,Primeiro,988.4681
3792,29.503930664062523,0.4888012150390172,2.6267645229011345,8,forte,Oitavo,984.9492
3793,28.53267822265628,0.4905020264761228,4.516482761322167,1,forte,Primeiro,985.5984
3797,35.1281677246094,0.4876183515341984,9.67773284461222,8,forte,Oitavo,986.8114
3798,36.84761962890627,0.4800628868560752,8.910728426094199,8,forte,Oitavo,986.6216
3799,38.96367797851565,0.4734811018271357,8.388736166393484,8,forte,Oitavo,986.5387
3800,39.94368896484377,0.4706370822163898,8.885363635537393,8,muito_forte,Oitavo,985.9945
3801,37.46151123046877,0.4743497889561159,6.801779512547412,8,extremo,Oitavo,984.5106
3802,36.49483642578127,0.4752875833157655,3.5161934630473555,7,muito_forte,Sétimo,983.3503
3803,38.25246582031252,0.4539254179979061,12.461127689778635,8,extremo,Oitavo,981.87164
3804,27.910333251953148,0.4961515305592665,6.876140346671976,8,forte,Oitavo,986.1866
3805,36.22292480468752,0.4593724595915553,12.546282751531121,8,muito_forte,Oitavo,981.2549
3806,32.87163696289065,0.4752700502753696,11.94788671514737,8,forte,Oitavo,981.7364
3807,30.353295898437523,0.4873040917021534,8.805329989312673,8,forte,Oitavo,982.6586
3808,28.883935546875023,0.4951290213625657,6.523748885052595,1,forte,Primeiro,983.2064
4063,38.63851318359377,0.4822994744573976,2.786200935886091,5,forte,Quinto,989.6122
4064,39.33196411132815,0.4854448767371456,4.7032692569831385,4,extremo,Quarto,988.6566
4065,39.25612792968752,0.4874146260584309,2.819129382312753,3,extremo,Terceiro,987.1682
4066,39.50441894531252,0.4856550563819474,2.266503047495096,4,extremo,Quarto,985.55734
4067,40.68425903320315,0.4509897380803534,1.6666441184941185,8,forte,Oitavo,984.911
4069,38.75032958984377,0.459173137978652,2.0524154470682197,8,forte,Oitavo,983.631
4080,27.664392089843773,0.5032285670880231,6.646472833428912,1,forte,Primeiro,984.30984
4081,27.118066406250023,0.5083848697574673,7.069861214508883,1,forte,Primeiro,985.5475
4085,35.36519775390627,0.4718027502479971,13.421528940435744,8,forte,Oitavo,986.4155
4086,37.86821899414065,0.4623360042604323,15.002296628216516,8,muito_forte,Oitavo,986.1939
4087,40.07949218750002,0.454555544874035,15.704564469730332,8,muito_forte,Oitavo,985.5683
4088,41.42800292968752,0.4498199170039572,15.269106324135697,8,muito_forte,Oitavo,984.5139
4089,41.68117675781252,0.4436519763087083,15.984587201523583,8,muito_forte,Oitavo,983.1632
4090,40.02071533203127,0.4484322666808015,15.50668974052728,8,muito_forte,Oitavo,982.0409
4091,38.25249633789065,0.4487753692468023,14.926736788958566,8,muito_forte,Oitavo,982.0689
4092,26.67427978515628,0.5124977482724299,6.829227231169219,1,forte,Primeiro,986.4478
4093,35.77715454101565,0.458173344603874,12.53286111814447,8,muito_forte,Oitavo,981.63734
4094,33.5989929199219,0.4671351115723648,12.041313640623773,1,muito_forte,Primeiro,981.8664
4095,31.096368408203148,0.4798012060373615,9.923536777759923,1,forte,Primeiro,982.3949
4096,29.153344726562523,0.4964593051355432,13.255212796075746,1,muito_forte,Primeiro,983.6053
4097,26.333642578125023,0.5156309338306394,7.332271231243449,1,forte,Primeiro,986.3655
4098,25.980615234375023,0.5179255383944157,8.218264484707626,1,forte,Primeiro,985.59766
4099,25.63643798828128,0.5195108660822382,8.485945032673845,1,forte,Primeiro,984.503
4100,25.263696289062523,0.5213528186500203,9.246505166825251,1,forte,Primeiro,984.1908
4101,25.224755859375023,0.5146868889940855,9.430755993198584,8,forte,Oitavo,983.2105
4102,25.11007080078128,0.5160240577516437,9.426316655981537,1,forte,Primeiro,983.44016
4103,24.918847656250023,0.5176987557509132,9.181337998350214,1,forte,Primeiro,983.9628
4139,36.14119873046877,0.4899302942986293,2.7933406401912686,8,forte,Oitavo,985.5534
4368,26.727410888671898,0.5099820763901728,13.060472663126898,1,muito_forte,Primeiro,984.3919
4369,26.129052734375023,0.5129410889932005,12.390011187127767,1,muito_forte,Primeiro,985.6622
