,skinTemp,RH,windspeed,windquad,UHIp,windquad_cat,surface_pressure,NDVI
4442,33.83699951171877,0.4365519015739223,2.0659806372218434,3,muito_forte,Terceiro,99894195.0,0.24690028
4443,36.73049316406252,0.4252364998583419,2.711898067404959,3,forte,Terceiro,99851.84,0.24690028
4444,38.77639160156252,0.4146712909186986,2.7675082002834612,4,forte,Quarto,99792.92,0.24690028
4445,39.92537841796877,0.4055616026342221,3.774508678406384,4,forte,Quarto,99709.86,0.24690028
4446,35.13222656250002,0.4631635958509818,6.648408909970413,6,forte,Sexto,98790375.0,0.24840502
4447,28.411004638671898,0.5123596489231813,13.315392898461537,8,forte,Oitavo,99092.7,0.25209913
4448,31.738641357421898,0.4933932715678009,11.965866947968921,8,forte,Oitavo,99102.59,0.25209913
4449,32.39333496093752,0.4880982196358484,11.466520047103955,8,forte,Oitavo,99045.97,0.25209913
4450,33.65694580078127,0.4856418296890373,10.960484591167107,8,muito_forte,Oitavo,98984.7,0.25209913
4451,35.33474121093752,0.4836365924884103,10.52439272289833,8,muito_forte,Oitavo,98856.44,0.25209913
4452,35.39107666015627,0.4843747750902008,9.818996253985613,8,forte,Oitavo,98767.16,0.25209913
4453,34.86260375976565,0.4804298921339968,12.266775007913813,8,forte,Oitavo,98657484.0,0.25209913
4454,33.3863464355469,0.4795797320875792,11.591758524896354,8,forte,Oitavo,98526.45,0.25209913
4455,34.62868652343752,0.4435283560660076,6.802824891397511,1,forte,Primeiro,99083.19,0.24278182
4456,34.10134277343752,0.4429044340791629,5.323946598528747,1,forte,Primeiro,99013.04,0.24278182
4457,33.61098632812502,0.439199615234454,5.624076654497388,1,forte,Primeiro,98956.8,0.24278182
4458,35.83187255859377,0.4675653038712669,8.391796001411107,1,forte,Primeiro,99248516.0,0.27248466
4459,38.15224609375002,0.4513318349495726,11.71297256083619,1,muito_forte,Primeiro,99189.33,0.27248466
4460,38.85482177734377,0.4413373578194977,12.635972157312738,1,muito_forte,Primeiro,99088.55,0.27248466
4461,39.12655029296877,0.4361275288658776,11.401513514794809,1,muito_forte,Primeiro,98971.19,0.27248466
4462,38.8254333496094,0.432944673360235,10.237892828436385,1,muito_forte,Primeiro,98868.44,0.27248466
4463,37.67196044921877,0.4284817755763405,9.317690137985515,1,muito_forte,Primeiro,98803734.0,0.27248466
4464,35.98140869140627,0.431806088348336,7.000468107009397,1,muito_forte,Primeiro,98816.92,0.27248466
4465,33.30220947265627,0.4434551403144647,4.131894259642057,1,forte,Primeiro,98800.42,0.27248466
4466,30.279107666015648,0.4762987113512996,3.4009932381820813,1,forte,Primeiro,98830.61,0.27248466
4467,30.124536132812523,0.4569435741661853,8.710763152564263,1,forte,Primeiro,99371766.0,0.24803264
4468,34.15120849609377,0.4424125179405794,10.27256927365292,1,muito_forte,Primeiro,99358.22,0.24803264
4469,37.44545898437502,0.4314629049413231,11.097944196049085,1,muito_forte,Primeiro,99279.49,0.24803264
4470,39.62508544921877,0.421978826537199,11.218717289433204,1,muito_forte,Primeiro,99212.45,0.24803264
4471,39.77895507812502,0.4179264294956426,9.800101793297474,1,muito_forte,Primeiro,99107.35,0.24803264
4472,39.33315429687502,0.4154762482398547,8.680354787567222,1,muito_forte,Primeiro,99007016.0,0.24803264
4473,38.10354003906252,0.4139065359339314,8.176873972527936,1,muito_forte,Primeiro,98955.8,0.24803264
4474,36.0021911621094,0.4222863508470026,5.260646655686621,1,muito_forte,Primeiro,98922234.0,0.24803264
4475,32.72591552734377,0.4344900126184533,3.718837249006827,1,forte,Primeiro,98934.66,0.24803264
4476,29.111108398437523,0.4476757867373822,3.6162893983167135,8,forte,Oitavo,98943.47,0.24803264
4477,27.6169372558594,0.4623135915963943,1.9662363665588005,5,forte,Quinto,99849.59,0.24559471
4478,32.62905273437502,0.4439153250566161,3.0418653172501573,4,forte,Quarto,99839.78,0.24559471
4479,36.24990234375002,0.4263351439597238,4.38711990313294,4,forte,Quarto,99789.03,0.24559471
4480,38.55056152343752,0.4112596033330412,4.365586760081754,4,forte,Quarto,99706125.0,0.24559471
4481,39.64089355468752,0.4025708081306921,2.8066526059076997,4,forte,Quarto,99582875.0,0.24559471
4482,39.60567626953127,0.3979062806251728,1.2795548508152155,3,forte,Terceiro,99486.09,0.24559471
4483,38.28774414062502,0.3900981573248863,0.457990450957188,8,forte,Oitavo,99364.89,0.24559471
4484,35.43911132812502,0.3927224986280239,2.2469781339705364,6,forte,Sexto,99369.78,0.24559471
4485,27.833032226562523,0.4621676206988481,3.008478728469092,5,forte,Quinto,99671.6,0.22907375
4486,36.24263916015627,0.4655135916345137,7.750522176303843,5,forte,Quinto,98716766.0,0.24891731
4487,36.48116455078127,0.4620512364009111,9.282504031401755,5,forte,Quinto,98630625.0,0.24891731
4488,35.42489013671877,0.458590020646381,8.419046946045857,5,forte,Quinto,98566695.0,0.24891731
4489,33.79415283203127,0.4583709825733528,7.836530704562424,5,forte,Quinto,98522875.0,0.24891731
4490,33.67513427734377,0.4949448457680953,11.906580263700173,8,forte,Oitavo,99100.77,0.25277436
4491,34.59905395507815,0.4920365288018628,11.079228687693547,7,forte,Sétimo,99060.16,0.25277436
4492,35.6525817871094,0.430984030156778,3.8673581741802807,4,forte,Quarto,98845.76,0.2434739
4493,31.39888916015628,0.4714619083056294,10.427832723008487,1,forte,Primeiro,99216.89,0.27258065
4494,34.71657714843752,0.4593755239494855,12.26115974076923,1,muito_forte,Primeiro,99220.11,0.27258065
4495,37.02996215820315,0.4434902792739196,14.325194116774783,1,muito_forte,Primeiro,99159.74,0.27258065
4496,38.34087524414065,0.430369624331804,14.890391385949295,1,muito_forte,Primeiro,99060766.0,0.27258065
4497,38.89425048828127,0.4237597972921948,13.954501019067397,1,muito_forte,Primeiro,98968.31,0.27258065
4498,38.70913085937502,0.4210846252203231,12.749770501537656,1,muito_forte,Primeiro,98869.14,0.27258065
4499,37.65560302734377,0.4214604116965018,11.740236036500129,1,muito_forte,Primeiro,98786.84,0.27258065
4500,35.67080078125002,0.4304678236136876,7.943652762656596,1,muito_forte,Primeiro,98769.22,0.27258065
4501,32.74883422851565,0.4434074492466881,5.858429805797194,1,forte,Primeiro,98760.81,0.27258065
4502,29.553552246093773,0.4551264895102029,5.976789303290845,1,forte,Primeiro,98785.11,0.27258065
4503,27.121911621093773,0.4687801129364981,7.059810343859382,2,forte,Segundo,98809.58,0.27258065
4504,30.05172119140628,0.4514715913803036,9.318164789494483,1,forte,Primeiro,99284.43,0.24803264
4505,34.41811523437502,0.4378679163524415,11.203729786764924,1,forte,Primeiro,99285.2,0.24803264
4506,37.42800292968752,0.4294337301278301,12.78648303099087,1,muito_forte,Primeiro,99245.16,0.24803264
